Elevation,Volume (ML)
114.9,0
118.4,45
119,90
120,450
121,1250
122,2550
123,4590
124,7860
125,12980
126,19390
130,57140
135,138640
140,292890
145,590890
150,1144890
154,1860000
155,2013233.128
156,2308927.942
157,2637494.508
158,3000102.569
159,3396111.47
160,3826241.935
161,4292271.875
162,4796541.109
163,5341444.611
164,5929153.285
165,6560589.33
166,7237395.157
167,7961178.383
168,8734024.998
169,9558363.996
170,10436639.12
171,11370721.84
172,12357999.3
173,13393213.94
174,14472822.95
175,15593427.43
176,16752884.64
177,17949264.04
178,19180303.69
178.6,19934803.64
